,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\0_1.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\0_2.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\0_3.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\0_4.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\1_1.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\1_2.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\1_3.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\2_1.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\2_2.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\2_3.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\2_4.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\3_1.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\3_2.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\3_3.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\3_4.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\4_1.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\4_2.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\5_1.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\5_2.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\5_3.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\5_4.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\5_5.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\5_6.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\6_1.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\6_2.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n1.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n10.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n11.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n12.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n13.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n14.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n2.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n3.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n4.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n5.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n6.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n7.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n8.jpg,C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\n9.jpg
C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\0_1.jpg,0.0,157.897341410319,156.79926300048828,132.965944925944,169.19256973266602,160.52256520589194,170.11002731323242,170.30108261108398,156.02255249023438,162.08280436197916,155.21004358927408,152.44940185546875,164.62235387166342,135.3964932759603,162.80454381306967,169.88615290323892,153.59326934814453,119.7327651977539,134.13913599650064,129.45703887939453,170.56669489542642,113.99408467610677,156.06573613484701,125.59444808959961,176.2555363972982,126.93289184570312,115.88830184936523,120.46148045857747,153.2422612508138,124.11532847086589,139.87257130940756,122.78358459472656,167.50455856323242,128.02067947387695,126.46559270222981,130.95343144734701,134.2410430908203,91.85351435343425,158.74709828694662
C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\0_2.jpg,94.74165598551433,0.0,145.09397888183594,107.453369140625,149.04327519734701,140.14410400390625,150.37316767374674,156.31096776326498,142.31824493408203,141.4116999308268,134.35371780395508,148.75648752848306,142.0961062113444,125.27063624064128,135.62888209025064,155.26615524291992,152.0403289794922,121.60104878743489,130.3947893778483,110.32076517740886,142.62182744344076,122.8929672241211,146.31455357869467,131.70622126261392,146.85819498697916,140.66738637288412,120.71133804321289,143.04818852742514,146.43997192382812,138.85079956054688,129.50843302408853,118.49138641357422,140.86730829874674,122.01949691772461,134.88530858357748,141.22145462036133,132.54259490966797,108.80317815144856,150.0177256266276
C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\0_3.jpg,98.89767710367839,109.87151590983073,0.0,115.04754130045573,93.67683537801106,93.24022928873698,95.65386327107747,91.52655919392903,81.46124521891277,91.22006479899089,63.93356704711914,132.1680425008138,111.30941899617513,110.85862350463867,108.44310633341472,90.37953313191731,163.33209228515625,126.50381469726562,127.07489903767903,105.08453369140625,88.21469751993816,133.1912409464518,116.71048355102539,116.11745071411133,71.24273173014323,111.31559499104817,116.70134353637695,124.02419662475586,94.29911804199219,150.19334411621094,91.09056091308594,126.44037628173828,108.90516535441081,91.829163869222,164.59731928507486,158.80097834269205,124.31970977783203,135.31564458211264,110.15030924479167
C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\0_4.jpg,119.43346913655598,145.71980794270834,139.7613779703776,0.0,141.78717168172201,134.3961385091146,143.71146519978842,141.32895278930664,133.81246693929037,138.83658599853516,129.86258824666342,138.64003245035806,140.6573855082194,136.9015769958496,136.19927597045898,137.91923141479492,139.49939473470053,122.17437235514323,131.6367327372233,118.26681009928386,142.47347132364908,125.05060068766277,136.98162714640299,126.80298233032227,141.5955810546875,131.21141306559244,125.88622411092122,124.8982048034668,135.10737101236978,132.78121948242188,129.82752482096353,131.66431935628256,137.23718134562174,117.66020329793294,133.57647069295248,137.52036412556967,132.6491216023763,114.84655380249023,142.01129659016928
C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\1_1.jpg,86.02910995483398,105.715513865153,160.86743545532227,113.203062693278,0.0,111.03865432739258,138.2455825805664,129.44607798258463,132.05361557006836,130.90227890014648,113.13140614827473,151.07519149780273,132.40211486816406,127.32827250162761,128.7220001220703,123.84039306640625,164.84763971964517,129.06819025675455,128.84402720133463,114.47150039672852,113.53037516276042,126.8262545267741,124.62772369384766,104.81659189860027,91.01674270629883,135.85002263387045,113.64299774169922,138.51044718424478,126.59461339314778,157.52497227986655,113.00161616007487,137.5164705912272,132.31166330973306,99.12172953287761,159.45108286539713,145.46756744384766,126.65133794148763,111.82923889160156,131.2381223042806
C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\1_2.jpg,93.8664321899414,114.24489339192708,161.52246602376303,120.44793701171875,142.71329879760742,0.0,146.14605585734049,149.21308771769205,131.09569040934244,138.7991714477539,116.7942492167155,149.95841217041016,146.53403345743814,130.83454004923502,142.50691350301108,124.71059290568034,161.1820322672526,125.57706197102864,131.14782079060873,111.67731221516927,121.54250208536784,121.66748301188152,129.27917353312174,107.58783340454102,104.55621337890625,125.65414174397786,117.22283299763997,128.14496994018555,131.60446166992188,148.12661743164062,117.41641235351562,135.4501469930013,138.02463658650717,106.65957260131836,160.06835301717123,146.35925165812174,129.58533986409506,101.72287623087566,139.6444549560547
C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\1_3.jpg,85.17773310343425,104.5314547220866,158.77712631225586,111.33313115437825,113.53208669026692,107.69932174682617,0.0,124.21612040201823,129.0290616353353,125.0847562154134,108.62019856770833,150.90512975056967,128.298459370931,122.49447377522786,125.01417795817058,119.45971934000652,165.5164451599121,127.92937850952148,127.85755920410156,114.44434229532878,109.47684987386067,127.68158340454102,121.56606038411458,106.02445983886719,86.3704439798991,133.9820442199707,113.51037089029948,140.84917449951172,123.60391362508138,158.48739751180014,112.94125493367513,137.16769790649414,129.66796875,97.78011830647786,160.51734924316406,146.95928955078125,125.62743504842122,114.66698964436848,129.5198834737142
C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\2_1.jpg,85.13739395141602,98.68089421590169,162.51999028523764,113.55353418986003,124.1411616007487,104.78886540730794,129.32782491048178,0.0,124.84972508748372,122.47410456339519,112.67198181152344,148.35893122355142,134.0865707397461,129.88577524820963,133.3149846394857,96.80772654215495,173.60371017456055,131.36202112833658,126.56005859375,107.70055262247722,98.10838572184245,124.58134841918945,120.71484883626302,99.0264383951823,69.17841211954753,123.56572850545247,117.31020100911458,124.61156972249348,120.54762395222981,149.95454533894858,108.58516057332356,135.79337437947592,117.66441345214844,89.0021489461263,165.42948404947916,144.59993998209634,125.79640579223633,115.4941635131836,131.19438807169595
C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\2_2.jpg,98.5747782389323,112.30740610758464,172.93719228108725,121.15758514404297,122.35491307576497,123.24024709065755,125.27920659383138,129.84916814168295,0.0,127.81546020507812,106.22557703653972,137.15048217773438,136.70234044392905,117.1034329732259,132.03068923950195,123.14843114217122,184.1394017537435,127.8212153116862,129.59802881876627,120.25056711832683,125.09590021769206,127.67107645670573,136.30490239461264,112.4416872660319,108.58422088623047,127.72381591796875,115.98749415079753,134.96789932250977,130.5650863647461,152.5576197306315,121.79760996500652,128.94885762532553,131.7170321146647,115.69018427530925,145.6507225036621,154.76811854044595,128.68138122558594,105.85212071736653,128.69752756754556
C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\2_3.jpg,92.82442220052083,113.15958913167317,163.69139353434244,116.21907806396484,122.98476537068684,115.49021657307942,128.88008753458658,131.65122095743814,126.1067403157552,0.0,114.31962203979492,144.2269490559896,129.21175003051758,112.33322016398112,116.64784622192383,121.2216428120931,170.45349884033203,129.68511708577475,127.47104517618816,113.30294545491536,116.68603897094727,133.0880381266276,130.16717656453451,115.12622706095378,105.55326588948567,139.49982706705728,114.08577092488606,151.0427385965983,136.52404022216797,156.16696421305338,121.84543100992839,132.61614481608072,137.42533493041992,120.82166417439778,148.30401229858398,149.77590052286783,127.64619445800781,111.7309964497884,134.15322621663412
C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\2_4.jpg,99.09301630655925,120.19999313354492,191.05731836954752,125.01371383666992,141.01996103922525,137.22430547078451,145.611572265625,141.48133850097656,147.0686937967936,139.75362014770508,0.0,147.95355097452799,138.9445368448893,125.93710072835286,134.35621897379556,135.34114837646484,180.3819236755371,127.07513046264648,126.27609761555989,124.70760726928711,137.52266693115234,124.16359837849934,132.8224894205729,106.93030293782552,112.3101412455241,128.21633783976236,118.21439107259114,122.99036916097005,125.41535568237305,148.73015467325845,122.67685063680013,132.90817642211914,145.779541015625,110.6254145304362,148.56804911295572,150.7531534830729,130.47859064737955,95.99698638916016,129.91303126017252
C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\3_1.jpg,103.04311116536458,106.05340830485027,122.33130645751953,116.24115244547527,103.41113662719727,104.89510345458984,103.52846399943034,106.21919377644856,117.5923563639323,109.81276448567708,106.67861048380534,0.0,102.54404576619466,109.05190912882487,101.5611966451009,117.02138646443684,132.18292999267578,131.7498346964518,127.9582888285319,118.23908233642578,109.80609512329102,132.65015157063803,118.7318941752116,119.50572331746419,97.84910329182942,129.03069051106772,119.28753280639648,147.59248224894205,122.50477345784505,159.3062260945638,113.7649663289388,143.59134419759116,129.47442754109701,109.9120979309082,141.85408147176108,155.32727177937826,124.77373758951823,136.48646926879883,124.72738393147786
C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\3_2.jpg,90.8053805033366,112.70793024698894,142.7299690246582,114.3963254292806,121.42210388183594,107.75860977172852,125.45349375406902,119.7269058227539,118.09746424357097,125.0740572611491,115.38912200927734,151.65289433797201,0.0,121.81385294596355,113.70237223307292,115.80904642740886,146.92338943481445,131.78098424275717,127.0691909790039,111.90206782023112,110.37533060709636,127.21971257527669,117.87827809651692,107.6176020304362,87.3659299214681,131.3502515157064,114.14485422770183,135.70012919108072,115.45617039998372,151.62839126586914,107.03667577107747,145.49326197306314,126.14392344156902,97.55848185221355,163.7670669555664,143.54136403401694,129.98457463582358,121.53910319010417,123.13678868611653
C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\3_3.jpg,119.31509526570638,129.54316584269205,143.92881139119467,118.06456883748372,127.03370666503906,123.67717870076497,131.73436737060547,124.54879506429036,137.30444463094076,141.7549959818522,128.72891489664713,145.4057731628418,132.65392049153647,0.0,127.3419698079427,138.9737091064453,149.13850784301758,131.2109464009603,134.54244740804037,124.35579299926758,129.26102193196616,127.15683619181316,137.04717254638672,111.62861887613933,114.54589207967122,133.87754440307617,115.74799346923828,145.49337259928384,137.83144505818686,144.04272842407227,121.28662490844727,149.5993309020996,135.66503143310547,120.78987630208333,152.9252192179362,146.38669077555338,137.0082867940267,118.70669555664062,131.98862584431967
C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\3_4.jpg,92.39076868693034,119.14390436808269,145.74016189575195,118.65130996704102,125.13053894042969,111.84302139282227,128.80646006266275,120.51932525634766,122.80427169799805,137.50189336140951,120.1844711303711,152.76367314656576,139.1319376627604,126.83609008789062,0.0,129.1747080485026,151.82843907674155,131.47997919718424,133.870724995931,112.8090705871582,118.79014587402344,131.00952784220377,121.04309336344402,107.20168813069661,97.95913060506184,134.9704704284668,113.4502944946289,141.52086893717447,126.71733983357747,148.09528986612955,113.74218114217122,145.92305119832358,131.37644704182944,107.01626586914062,162.8225072224935,145.1482365926107,132.75648625691733,119.96531168619792,126.09034093221028
C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\4_1.jpg,84.9989382425944,98.71691767374675,164.70933405558267,117.1719144185384,130.42816162109375,129.47169876098633,134.7199681599935,158.22677866617838,130.81413396199545,132.1689821879069,119.01562245686848,137.46982447306314,138.84622701009116,115.71932474772136,125.53329976399739,0.0,168.24780654907227,124.20696385701497,124.76502736409505,98.09009170532227,109.04252115885417,126.42433802286784,120.46083323160808,125.16142018636067,125.04125849405925,138.85012435913086,115.58092498779297,143.88554890950522,137.8105354309082,143.8880297342936,120.77157465616862,115.95732752482097,141.36222076416016,121.79175313313802,132.48764292399088,147.2082290649414,126.77025477091472,107.87296040852864,140.53867975870767
C:\Users\sharj\Desktop\STUDY\visdatcompy\dataset_small\4_2.jpg,102.14859263102214,102.99938456217448,87.61289469401042,115.38634745279948,89.84181340535481,93.68482971191406,89.11539077758789,81.10852940877278,69.94555918375652,84.38732147216797,74.30785497029622,122.12989552815755,107.06066004435222,105.77360153198242,102.40593592325847,86.9540163675944,0.0,121.75733439127605,123.17900466918945,115.65934244791667,97.33931096394856,132.5547866821289,123.05384699503581,117.55977249145508,76.59195454915364,123.47699228922527,121.31326166788737,134.05473454793295,94.15940856933594,164.23690287272134,94.86751810709636,124.43673451741536,99.56330744425456,88.72428512573242,160.2818285624186,161.56816991170248,130.45701853434244,138.66486740112305,110.04998779296875
